τὲ	g--------	τε
τῶ	l-s---md-	ὁ
λόγω	n-s---md-	λόγος
πρέπει	v3spia---	πρέπω
·	u--------	·
τῶ	l-s---md-	ὁ
τῆ	l-s---fd-	ὁ
δέλτω	n-s---fd-	δέλτος
δόντι	v-sapamd-	δίδωμι
μοι	p1s---cd-	ἐγώ
ταυτὴ	p-s---fd-	οὗτος
τὸ	l-s---na-	ὁ
πέρας	n-s---na-	πέρας
·	u--------	·
ἀνδρέα	n-s---md-	Ἀνδρέας
τάλα	d--------	τάλα
μοναχῶ	a-s---nd-	μοναχός
παρ’	r--------	παρά
ἀξίαν	a-s---fa-	ἄξιος
·	u--------	·
εὔχεσθε	v2ppme---	εὔχομαι
καμοῦ	p1s---mg-	ἐγώ
τοῦ	l-s---mg-	ὁ
ταπεινοῦ	a-s---ma-	ταπεινός
γραφέος	n-s---mg-	γραφεύς
:–	u--------	:–
Ἄναξ	n-s---mv-	ἄναξ
ὑπάρχων	n-p---mg-	ὕπαρχος
χριστέ	n-s---mv-	Χριστός
μου	p1s---cg-	ἐγώ
τῶν	l-p---mg-	ὁ
ἀνάκτων	n-pplusr--mg-	ἄναξ
κύριός	n-s---mn-	κύριος
τε	g--------	τε
καὶ	g--------	καί
ποιητὴς	n-s---mn-	ποιητής
τῶν	l-p---mg-	ὁ
ἁπάντων	a-p---mg-	ἅπας
·	u--------	·
θεοφάνην	n-s---ma-	Θεοφάνης
φύλαττε	v3sama---	φυλάττω
τὸν	l-s---ma-	ὁ
σὸν	a-s---ma-	σός
οἰκέτην	n-s---ma-	οἰκέτης
·	u--------	·
τεύξαντα	v-sapama-	τεύχω
βίβλον	n-s---fa-	βύβλος
τὴν	l-s---fa-	ὁ
νέαν	a-s---fa-	νέος
θείω	a-s---md-	θεῖος
πόθω	n-s---md-	πόθος
·	u--------	·
δίδου	v2spma---	δίδωμι
δὲ	g--------	δέ
σθένος	n-s---na-	σθένος
καὶ	g--------	καί
κράτος	n-s---na-	κράτος
τὲ	g--------	τε
ἐξ	r--------	ἐξ
ὕψους	n-s---ng-	ὕψος
λιταῖς	n-s---fd-	λιτή
ἀλήκτοις	a-s---fd-	ἄληκτος
τῆς	l-s---fg-	ὁ
τεκούσης	v-sapafg-	τίκτω
ἀφθόρως	d--------	ἀφθόρως
προκοπίου	n-s---mg-	Προκοπίος
τε	g--------	τε
τοῦ	l-s---mg-	ὁ
θείου	a-s---mg-	θεῖος
μάρτυρός	n-s---mg-	μάρτυς
σου	p2s---cg-	σύ
:	u--------	:
ἣν	p-s---fa-	ὅς
ἀνέθηκεν	v3saia---	ἀνατίθημι
νεὼ	a-d---md-	νέος
τῶ	l-s---md-	ὁ
τούτου	p-s---mg-	οὗτος
πίστει	n-s---fd-	πίστις
·	u--------	·
ἀντιλάβοι	v3saoa---	ἀντιλαμβάνω
δὲ	g--------	δέ
λύσιν	n-s---fa-	λύσις
ἀμπλακημάτων	n-p---ng-	ἀμπλάκημα
:-	u--------	:-
		
⁘	u--------	⁘
ἄρδην	d--------	ἄρδην
βυθίσας	v-sapamn-	βυθίζω
φαραῶ	n-s---mg-	Φαραώ
μωσῆς	n-----mn-	Μοσῆς
λέγει	v3spia---	λέγω
·	u--------	·
ἁρμονίης	n-s---fg-	ἁρμονία
ἱερῆς	a-s---fg-	ἱερός
μελιηδέα	a-p---nn-	μελιηδής
ἄσματα	n-p---nn-	ᾄσμα
δαυίδ	n-s---mg-	Δαυίδ
ἅφραστος	a-s---fn	ἅφραστος
ἡ	l-s---fn-	ὁ
πρόνοια	n-s---fn-	πρόνοια
τοῦ	l-s---mg-	ὁ
θεοῦ	n-s---mg-	θεός
λόγοις	n-p---md-	λόγος
·	u--------	·
ὅπως	c--------	ὅπως
ἐπ	r--------	ἐπί
	u--------	
αὐτὸν	p-s---ma-	αὐτός
τοὺς	l-p---ma-	ὁ
πεποιθότας	v-srpema-	πείθω
στέφειν	v--pna---	στέφω
·	u--------	·
πᾶσιν	a-p---md-	πᾶς
καλοῖς	a-p---md-	καλός
εἴωθεν	v3sria---	εἴωθα
ἔν	r--------	ἐν
γε	g--------	γε
τῶ	l-s---md-	ὁ
τάφω	n-s---md-	τάφος
·	u--------	·
ὡς	c--------	ὡς
καὶ	c--------	καί
δανιὴλ	n-s---mn-	Δανιήλ
ἡ	l-----fn-	ὁ
προφητῶν	n-p---mg-	προφήτης
τερπνότης	n-s---fn-	·
·	u--------	·
ξίφος	n-s---na-	ξίφος
πεφευγὼς	v-srpamn-	φεύγω
περσικῶν	a-p---ng-	Περσικός
στρατευμάτων	n-p---ng-	στράτευμα
·	u--------	
ὡς	c--------	ὡς
αἰχμάλωτος	a-s---mn-	αἰχμάλωτος
ἠγμένος	v-srpemn-	ἡγέομαι
τὲ	g--------	τε
προς	r--------	πρός
ξένην	a-s---fa-	ξένος
·	u--------	·
ἤμειψε	v3saia---	ἀμείβω
μὲν	g--------	μέν
γῆν	n-s---fa-	γῆ
","	u--------	","
τὸν	l-s---ma-	ὁ
θεὸν	n-s---ma-	θεός
δ	g--------	δέ
	u--------	
εὗρεν	v3saia---	εὑρίσκω
πάλιν	d--------	πάλιν
·	u--------	·
καὶ	c--------	καί
πρῶτον	a-s---na-	πρῶτος
ἦν	v3siia---	εἰμί
μὲν	g--------	μέν
τῶν	l-p---mg-	ὁ
ἀνασσόντων	v-pppamg-	ἀνάττω
φίλος	a-s---mn-	φίλος
·	u--------	·
τὸ	l-s---na-	ὁ
μέλλον	v-sppana-	μέλλω
αὖθις	d--------	αὖθις
τῶν	l-p---mg-	ὁ
χρόνων	n-p---mg-	χρόνος
ἤδει	v-splusria---	οἶδα
τέλος	n-s---na-	τέλος
·	u--------	·
θῆρας	n-p---ma-	θήρ
χαλινῶν	v-sppamn-	χαλινόω
","	u--------	","
προβλέπων	v-sppamn-	προβλέπω
κἀν	c_crasis--------	ἄν
τοῖς	l-p---md-	ὁ
ὕπνοις	n-p---md-	ὕπνος
·	u--------	·
καλῶς	d--------	καλός
δ	g--------	δέ
	u--------	
ἀμείψας	v-sapamn-	ἀμείβω
τῶν	l-p---ng-	ὁ
ἄνω	d--------	ἄνω
τὰ	l-p---na-	ὁ
τῶν	l-p---ng-	ὁ
κάτω	d--------	κάτω
·	u--------	·
ῥήσεις	n-p---fa-	ῥῆσις
λέλοιπεν	v3sria---	λείπω
","	u--------	","
ὧν	p-p---fg-	ὅς
πάρεισιν	v3ppia---	πάρειμι
ἐκβάσεις	n-p---fa-	ἔκβασις
:	u--------	:
Βίβλος	n-s---fn-	βύβλος
ἐπουρανίοιο	a-s---mg-	ἐπουράνιος
καὶ	c--------	καί
ἀθανάτου	a-s---md-	ἀθάνατος
βασιλῆος	n-s---mg-	βασιλεύς
τοῖς	l-p---md-	ὁ
καθαροῖσι	v-pfpamd-	καθαίρω
νόον	n-s---ma-	νοῦς
","	u--------	","
μυστήρια	n-p---nn-	μυστήριον
λαμπρὰ	a-p---nn-	λαμπρός
φαείνει	v3spia---	φαίνω
·	u--------	·
τῆν	l-s---fa-	ὁ
δʹ	g--------	δέ
ἐγὼ	p1s---cn-	ἐγώ
αὐτὸς	p-s---mn-	αὐτὸς
ἔγραψα	v1saia---	γράφω
πόθωι	n-s---md-	πόθος
τολμήεντι	a-s---md-	τολμήεις
πιθήσας	v-sapamn-	πείθω
συμεὼν	n-s---mn-	Συμεών
οἰκτρὸς	a-s---mn-	οἰκτρός
.	u--------	.
μοναχοῖσι	a-p---md-	μοναχός
καὶ	g--------	καί
ἱερεῦσιν	n-p---md-	ἱερεύς
.	u--------	.
οἱ	l-p---mn-	ὁ
μετʹ	r--------	μετά
ἐμὲ	p1s---ca-	ἐγώ
.	u--------	.
τρυφόωντες	v-pppamn-	τρυφάω
ἐμοῖο	p1s---cg-	ἐγώ
πόνοιο	n-s---mg-	πόνος
μέμνησθε	v2prie---	μιμνήσκω
·	u--------	·
+	u--------	+
Βροντήεις	a-s---mn-	Βροντήεις
θεόφωνος	n-s---mn-	θεόφωνος
ἰωάννης	n-s---mn-	Ἰωάννης
πανάριστος	a-s---mns	πανάριστος
","	u--------	","
πρωτοτόκου	a-s---fg-	πρωτότοκος
σοφίης	n-s---fg-	σοφία
ὑπεράρχιον	a-s---fa-	ὑπεράρχιος
εὕρετο	v3saim---	εὑρίσκω
ἀρχήν	n-s---fa-	ἀρχή
·	u--------	·
πρωτοφανῆ	a-s---ma-	πρωτοφανής
γενετῆρα	a-s---ma-	γενετήρ
θεοῦ	n-s---mg-	θεός
θεὸν	n-s---ma-	θεός
αὐτογένεθλον	a-s---ma-	αὐτογένεθλος
·	u--------	.
ἔνθεν	d--------	ἔνθεν
ὀλεθροτόκον	a-p---fg-	ὀλεθροτόκος
αἱρέσεων	n-p---fg-	αἵρεσις
ἤμβλυνε	v3saia---	ἀμβλύνω
φρένα	n-s---fa-	φρήν
·	u--------	.
+	u--------	+
Βροντῆς	n-s---fg-	Βροντή
τὸν	l-s---ma-	ὁ
υἱὸν	n-s---ma-	υἱός
","	u--------	","
τίς	p-s---cn-	τίς
βροτῶν	n-p---mg-	βροτός
μὴ	g--------	μή
θαυμάση	v3sfia---	θαυμάζω
·	u--------	·
Ἀεὶ	d--------	ἀεί
γὰρ	g--------	γάρ
οὗτος	p-s---mn-	οὗτος
ὡς	c--------	ὡς
ἐν	r--------	ἐν
ἀρχῇ	n-s---fd-	ἀρχή
τὸν	l-s---ma-	ὁ
λόγον	n-s---ma-	λόγος
·	u--------	·
Τῷ	l-s---md-	ὁ
πατρὶ	n-s---md-	πατήρ
δεικνὺς	v-sppamn-	δείκνυμι
καὶ	g--------	καί
πρὶν	d--------	πρίν
οὐσιωμένον	v-spppma-	οὐσιόω
;	u--------	;
Πάλιν	d--------	πάλιν
τὸν	l-s---ma-	ὁ
αὐτὸν	p-s---ma-	αὐτός
γηγενῆ	a-s---ma-	γηγενής
πεφηνότα	v-srpama-	φαίνω
·	u--------	·
Τρανοῖ	v3spia---	τρανόω
θεουργὸν	n-s---ma-	θεουργός
.	u--------	.
καὶ	g--------	καί
παθητὸν	n-s---ma-	παθητός
σαρκίῳ	n-s---nd-	σαρκίον
:-	u--------	:-
Βροντῆς	n-s---fg-	Βροντή
γόνον	n-s---ma-	γόνος
σὲ	p2s---ca-	σύ
χριστὸς	n-s---mn-	Xριστός
εἰκότως	d--------	εἰκότως
ἔφη	v3siia---	φημί
:	u--------	:
ὡς	c--------	ὡς
τὴν	l-s---fa-	ὁ
ἄναρχον	a-s---fa-	ἄναρχος
πατρὸς	n-s---mg-	πατήρ
ἐξ	r--------	ἐκ
ἀναιτίου	a-s---ng-	ἀναίτιος
:	u--------	:
γέννησιν	n-s---fa-	γέννησις
αὐτοῦ	p-s---mg-	αὐτός
σοῖς	p-p---md-	σός
θεοφθόγγοις	a-p---md-	θεόφθογγος
λόγοις	n-p---md-	λόγος
:	u--------	:
μέγιστα	a-p---nas	μέγιστος
βροντήσαντα	v-papana-	βροντάω
τῆ	l-s---fd-	ὁ
κτίσει	n-s---fd-	κτίσις
πάση	a-s---fd-	πᾶς
:	u--------	:
εὐαγγελιστὰ	n-s---mv-	εὐαγγελιστής
παμμάκαρ	a-s---mv-	παμμάκαρ
καὶ	g--------	καί
παρθένε	n-s---fv-	παρθένος
:	u--------	:
φωστὴρ	n-s---mv-	φωστήρ
ἰωάννη	n-s---mv-	Ἰωάννης
τε	g--------	τε
τῶν	l-p---mg-	ὁ
ἀποστόλων	n-p---mg-	ἀπόστολος
:	u--------	:
καὶ	g--------	καί
πλεῖον	d------c	πολύς
αὐτῶν	p-p---mg-	αὐτός
κυρίω	n-s---md-	κύριος
πεφιλμένε	v-srpp-v-	φιλέω
:	u--------	:
ἀλλ’	g--------	ἀλλά
ὡς	c--------	ὡς
πρὸς	r--------	πρός
αὐτὸν	p-s---ma-	αὐτός
νῦν	d--------	νῦν
ἔχων	v-sppamn-	ἔχω
παρρησίαν	n-s---fa-	παρρησία
:	u--------	:
ἄνωθεν	d--------	ἄνωθεν
αὐτοῦ	p-s---mg-	αὐτός
τὴν	l-s---fa-	ὁ
λύσιν	n-s---fa-	λύσις
τῶν	l-p---ng-	ὁ
πταισμάτων	n-p---ng-	πταῖσμα
:	u--------	:
ἐμοὶ	p-s---cd-	ἐγώ
δοθῆναι	v--anp---	δίδωμι
ἀλιτρῶ	v1spia---	ἀλιτρέω
νικοδήμω	n-s---md-	Νικόδημος
:	u--------	:
τῶ	l-s---nd-	ὁ
τῶ	l-s---md-	ὁ
πόθω	n-s---md-	πόθος
κτήσαντι	v-sapamd-	κτάομαι
τήνδε	p-s---fa-	ὅδε
τὴν	l-s---fa-	ὁ
βίβλον	n-s---fa-	βύβλος
:	u--------	:
τὴν	l-s---fa-	ὁ
παντὸς	a-s---mg-	πᾶς
ὄλβου	n-s---mg-	ὄλβος
τήνδε	p-s---fa-	ὅδε
τιμιωτέραν	a-s---fac	τίμιος
:	u--------	:
τῶν	l-p---ng-	ὁ
σῶν	p-p---ng-	σός
φαεινῶν	a-p---ng-	φαεινός
δογμάτων	n-p---ng-	δόγμα
θείαν	a-s---fa-	θεῖος
βίβλον	n-s---fa-	βίβλος
:	u--------	:
Βροντῆς	n-s---fg-	Βροντή
γόνε	n-s---mv-	γόνος
βρόντησον	v2sama---	βροντάω
ὑψώθεν	d--------	ὑψόθεν
μέγα	d--------	μέγα
Καὶ	g--------	καί
σήμανον	v2sama---	σημαίνω
πῶς	d--------	πῶς
η	l-----fn-	ὁ
προἄρχιος	a-s---fn-	προάρχιος
φύσις	n-s---fn-	φύσις
.	u--------	.
Θεὸς	n-s---mn-	Θεός
βροτός	n-s---mn-	βροτός
τε	g--------	τε
καὶ	g--------	καί
θεὸς	n-s---mn-	θεός
πάλιν	d--------	πάλιν
μένει	v3spia---	μένω
Δίδου	v2spme---	δίδωμι
δὲ	g--------	δέ
λύσιν	n-s---fa-	λύσις
τῶν	l-p---ng-	ὁ
ὀφλημάτων	n-p---ng-	ὄφλημα
βίου	n-s---mg-	βίος
Ἰωάννη	n-s---md-	Ἰωάννης
κοσμοῦντι	v-sppamd-	κοσμέω
τὸν	l-s---ma-	ὁ
χρόνου	n-s---mg-	χρόνος
κύκλον	n-s---ma-	κύκλος
Εὐαγγελιστῶν	v-sapamn-	εὐαγγελιστής
τῶν	l-p---mg-	ὁ
σοφοτάτων	a-p---mgs	σοφός
λόγοις	n-p---md-	λόγος
‧	u--------	‧
		
⁘	u--------	⁘
χριστὲ	n-s---mv-	Χριστός
παράσχου	v2same---	παρέχω
τοῖς	l-p---md-	ὁ
ἐμοῖς	p-p---md-	ἐμός
κόποις	n-p---md-	κόπος
χάριν	n-s---fa-	χάρις
ροντὴ	n-s---fd-	ροντὴ
πέφυκεν	v3sria---	φύομαι
","	u--------	","
ἡ	l-s---fn-	ὁ
θεηγόρος	a-s---fn-	θεηγόρος
λύρα	n-s---fn-	λύρα
·	u--------	·
Βροντῶσα	v-sppafn-	βροντάω
κηρύττουσα	v-sppafn-	κηρύττω
τῆ	l-s---fd-	ὁ
οἰκουμένη	n-s---fd-	οἰκουμένη
·	u--------	·
ωάννης	n-s---mn-	Ἰωάννης
ἄρρητον	a-s---fa-	ἄρρητος
.	u--------	.
οὐσίαν	n-s---fa-	οὐσία
μόνην	a-s---fa-	μόνος
·	u--------	·
Θείαν	a-s---fa-	θεῖος
τριφεγγῆ	a-s---fa-	τριφεγγής
·	u--------	·
δημιουργὸν	n-s---ma-	δημιουργός
","	u--------	","
τῶν	l-p---ng-	ὁ
ὅλων	a-p---mg-	ὅλος
·	u--------	·
γνω	v3saia---	γιγνώσκω
γὰρ	g--------	γάρ
ὄντως	d--------	ὄντως
","	u--------	","
καὶ	g--------	καί
γράφει	v3spia---	γράφω
θεία	a-s---fd-	θεῖος
βίβλω	a-s---fd-	βίβλος
·	u--------	·
Καὶ	g--------	καί
νοῦν	n-s---ma-	νοῦς
δαδουχεῖ	v3spia---	δαδουχέω
·	u--------	·
καὶ	g--------	καί
καταυγάζει	v3spia---	καταυγάζω
φρένας	n-p---fa-	φρήν
:-	u--------	:-
Βροντῶν	n-p---fg-	βροντή
τὰ	l-p---na-	ὁ
θεῖα	a-p---na-	θεῖος
τῆ	l-s---fd-	ὁ
βοῆ	n-s---fd-	βοή
τῶν	l-p---ng-	ὁ
δογμάτων	n-p---ng-	δόγμα
·	u--------	·
Ἤχησας	v-sapamn-	ἠχέω
ὄντως	d--------	ὄντως
τὴν	l-s---fa-	ὁ
ὑπ	r--------	ὑπό
ουρανον	n-s---ma-	οὐρανός
μακαρ	a-s---ma-	μάκαρ
·	u--------	·
Καὶ	g--------	καί
πάσας	a-p---fa-	πᾶς
ἀπρὶξ	d--------	ἀπρίξ
μαράνας	v-sapamn-	μαραίνω
τὰς	l-p---fa-	ὁ
αἱρέσεις	n-p---fa-	αἵρεσις
·	u--------	·
Τὸν	l-s---ma-	ὁ
κόσμον	n-s---ma-	κόσμος
ἐστήριξας	v2saia---	στηρίζω
ἐν	r--------	ἐν
τοῖς	l-p---md-	ὁ
σοῖς	p-p---md-	σός
λόγοις	n-p---md-	λόγος
·	u--------	·
Πηγὴν	n-s---fa-	πηγή
ἄληκτον	n-s---fa-	ἄληκτος
παγχρύσων	a-p---mg-	πάγχρυσος
λόγων	n-p---mg-	λόγος
βλύσας	v-sapamn-	βλύζω
·	u--------	·
ὅλην	a-s---fa-	ὅλος
κατάρδης	v2spsa---	κατάρδω
τὴν	l-s---fa-	ὁ
ὑφήλιον	a-s---fa-	ὑφήλιος
μάκαρ	a-s---mv-	μάκαρ
·	u--------	·
θύρας	n-p---fa-	θύρα
δ	g--------	δέ
	u--------	
ἀνοίγων	v-sppamn-	ἀνοίγνυμι
τοῖς	l-p---md-	ὁ
βροτοῖς	n-p---md-	βροτός
σωτηρίας	n-p---fa-	σωτηρία
εἰς	r--------	εἰς
οὐρανοὺς	n-p---ma-	οὐρανός
τὸν	l-s---ma-	ὁ
κόσμον	n-s---ma-	κόσμος
ἐκπέμπεις	v2spia---	ἐκπέμπω
ὅλον	a-s---ma-	ὅλος
·	u--------	·
Ἤστραψας	v2saia---	εἰστρέπω
αἴγλη	n-s---fn-	αἴγλη
τοῦ	l-s---mg-	ὁ
φαεινῶ	a-s---fg-	φαεινός
σου	p2s---cg-	σός
βίω	n-s---mg-	βίος
καὶ	g--------	καί
φαιδρύνεις	v2spia---	φαιδρύνω
τὸν	l-s---ma-	ὁ
κόσμον	n-s---ma-	κόσμος
ἔργοις	n-p---nd-	ἔργον
καὶ	g--------	καί
λόγοις	n-p---md-	λόγος
·	u--------	·
Λαβὼν	v-sapamn-	λαμβάνω
δὲ	g--------	δέ
τὰς	l-p---fa-	ὁ
κλεῖς	n-p---fa-	κλείς
κ	c--------	καί
	u--------	
αὐτὸς	p-s---mn-	αὐτός
ὡς	c--------	ὡς
πέτρος	n-s---mn-	Πέτρος
νέος	a-s---mn-	νέος
.	u--------	.
Φύλαξ	n-s---mn-	φύλαξ
ὑπάρχης	v2spia---	ὑπάρχω
τῆς	l-s---fg-	ὁ
πάσης	a-s---fg-	πᾶς
ἐκκλησίας	n-s---fg-	ἐκκλησία
·	u--------	·
༶	u--------	༶
ἀθανάτου	a-s---mg-	ἀθάνατος
βιότοιο	n-s---mg-	βίοτος
